id,municipio,vereda,longitud,latitud,altitud,caudal_ver,vigencia,tipo_vert,sist_trata,descarga,clase_vert,actividad,fuente_rec,cuerpo_rec,tipo_desc,observacio,sist_med_c,coordenadas
63,Puerto Boyaca,Calderon,-74.55914167,6.067522222,153,No Reportado,11/13/2010 12:00:00 AM,Puntual,,,1,1 Seguimientos,Rio Magdalena,Rio Magdalena,Puntual,,Volumetrico,POINT (-74.55914167 6.067522222)
64,Tuta,Zona Urbana,-73.233325,5.689013889,0,1530,11/08/2006 12:00:00 AM,Distribuida,,1,1,,Rio Tuta,Rio Tuta,Distribuida,,Volumetrico,POINT (-73.233325 5.689013889)
65,Tuta,Zona Urbana,-73.23257778,5.694166667,0,187,11/08/2006 12:00:00 AM,Distribuida,,1,1,,Rio Tuta,Rio Tuta,Distribuida,,Volumetrico,POINT (-73.23257778 5.694166667)
66,Combita,Zona Urbana,-73.3204,5.635380556,2835,338,11/08/2006 12:00:00 AM,Distribuida,,1,1,,Quebrada La Rusta,Quebrada La Rusta,Distribuida,,,POINT (-73.3204 5.635380556)
67,Combita,Zona Urbana,-73.31889444,5.632538889,2833,No Reportado,11/08/2006 12:00:00 AM,Distribuida,,1,1,,Quebrada La Rusta,Quebrada La Rusta,Distribuida,,,POINT (-73.31889444 5.632538889)
68,Combita,Zona Urbana,-73.31737778,5.632819444,2819,No Reportado,11/08/2006 12:00:00 AM,Distribuida,,1,1,,Quebrada La Rusta,Quebrada La Rusta,Distribuida,,,POINT (-73.31737778 5.632819444)
69,Combita,Zona Urbana,-73.31688611,5.629563889,2816,No Reportado,11/08/2006 12:00:00 AM,Distribuida,,1,1,,Quebrada La Rusta,Quebrada La Rusta,Distribuida,,,POINT (-73.31688611 5.629563889)
70,Chivata,Ricaya,-73.28759722,5.557361111,0,2,11/08/2006 12:00:00 AM,,Normal,,1,,,,,,,POINT (-73.28759722 5.557361111)
71,Toca,Zona Urbana,-73.18041389,5.540788889,2800,157,05/10/2007 12:00:00 AM,Distribuida,,1,1,,Rio Toca,Rio Toca,Distribuida,,,POINT (-73.18041389 5.540788889)
72,Sutamarchan,Zona Urbana,-73.61858333,5.618430556,0,No Reportado,05/10/2007 12:00:00 AM,Puntual,,1,1,,Rio Sutamarchan,Rio Sutamarchan,Puntual,,,POINT (-73.61858333 5.618430556)
73,Chitaraque,Zona Urbana,-73.44187222,6.03865,2644,612,05/10/2007 12:00:00 AM,Distribuida,,1,1,,Quebrada La Quinta,Quebrada La Quinta,Distribuida,,,POINT (-73.44187222 6.03865)
74,Chitaraque,Zona Urbana,-73.44180833,6.024372222,1575,182,11/08/2007 12:00:00 AM,Distribuida,,1,1,,Quebrada Santa Helena,Quebrada Santa Helena,Distribuida,,,POINT (-73.44180833 6.024372222)
75,Chitaraque,Zona Urbana,-73.44353611,6.022538889,1566,58,02/03/2006 12:00:00 AM,Distribuida,,1,Turismo,,Quebrada Santa Helena,Quebrada Santa Helena,Distribuida,,,POINT (-73.44353611 6.022538889)
76,Miraflores,Zona Urbana,-73.14443889,5.200975,1434,15,03/03/2008 12:00:00 AM,Distribuida,,1,1,,Quebrada Menudera,Quebrada Menudera,Distribuida,,,POINT (-73.14443889 5.200975)
77,Miraflores,Zona Urbana,-73.14632778,5.199144444,1473,3,11/26/2007 12:00:00 AM,Distribuida,,1,1,,Quebrada Menudera,Quebrada Menudera,Distribuida,,,POINT (-73.14632778 5.199144444)
78,Miraflores,Zona Urbana,-73.14809167,5.200202778,1479,15,11/27/2007 12:00:00 AM,Distribuida,,1,1,,Quebrada Herradura,Quebrada Herradura,Distribuida,,,POINT (-73.14809167 5.200202778)
79,Miraflores,Zona Urbana,-73.14509167,5.198708333,1477,15,11/28/2007 12:00:00 AM,Distribuida,,1,1,,Cano Sin Nombre,Cano Sin Nombre,Distribuida,,,POINT (-73.14509167 5.198708333)
80,Miraflores,Zona Urbana,-73.14082778,5.198077778,1446,45,11/29/2007 12:00:00 AM,Distribuida,,1,1,,Quebrada Aguardiente,Quebrada Aguardiente,Distribuida,,,POINT (-73.14082778 5.198077778)
81,Cucaita,Centro,-73.459975,5.546825,2645,No Reportado,11/30/2007 12:00:00 AM,,Normal,,1,,Quebrada Santiago,Quebrada Santiago,,,,POINT (-73.459975 5.546825)
82,Tinjaca,Zona Urbana,-73.64353056,5.579080556,2121,No Reportado,,,Normal,,,,Rio Tinjaca,Rio Tinjaca,,,,POINT (-73.64353056 5.579080556)
83,Villa De Leyva,Centro,-73.52220556,5.636188889,2157,No Reportado,,Distribuida,,1,,,Quebrada San Agustin,Quebrada San Agustin,Distribuida,,,POINT (-73.52220556 5.636188889)
84,Villa De Leyva,Centro,-73.52560833,5.6364,2153,No Reportado,,Distribuida,,1,1,,Quebrada San Agustin,Quebrada San Agustin,Distribuida,,,POINT (-73.52560833 5.6364)
85,Villa De Leyva,Centro,-73.52741389,5.636202778,2146,1483,08/10/2006 12:00:00 AM,Distribuida,,1,1,,Rio Leyva,Rio Leyva,Distribuida,,,POINT (-73.52741389 5.636202778)
86,Villa De Leyva,Centro,-73.52771111,5.636247222,2142,No Reportado,08/10/2006 12:00:00 AM,Distribuida,,1,1,,Rio Leyva,Rio Leyva,Distribuida,,,POINT (-73.52771111 5.636247222)
87,Villa De Leyva,Centro,-73.53151944,5.636522222,2143,No Reportado,04/11/2008 12:00:00 AM,Distribuida,,1,1,,Rio Leyva,Rio Leyva,Distribuida,,,POINT (-73.53151944 5.636522222)
