id,municipio,vereda,longitud,latitud,altitud,caudal_ver,vigencia,tipo_vert,sist_trata,descarga,clase_vert,actividad,fuente_rec,cuerpo_rec,tipo_desc,observacio,sist_med_c,coordenadas
156,Pesca,Zona Urbana,-73.05571111,5.553441667,2610,2.484,,Distribuida,,1,,,Rio Pesca,Rio Pesca,Distribuida,,,POINT (-73.05571111 5.553441667)
157,Duitama,San Lorenzo,-73.06226944,5.799683333,2554,No Reportado,05/09/2011 12:00:00 AM,Puntual,,1,1,,Canal Aguas Lluvias,Canal Aguas Lluvias,Puntual,,Volumetrico,POINT (-73.06226944 5.799683333)
158,Topaga,San Jose,-72.83592222,5.789133333,2410,No Reportado,03/15/2011 12:00:00 AM,Puntual,Normal,1,1,,Rio Chicamocha,Rio Chicamocha,Puntual,,Volumetrico,POINT (-72.83592222 5.789133333)
159,Corrales,Reyes Patria,-72.83937222,5.829941667,2459,No Reportado,05/10/2011 12:00:00 AM,Puntual,Normal,1,1,,Rio Chicamocha,Rio Chicamocha,Puntual,,Volumetrico,POINT (-72.83937222 5.829941667)
160,Villa De Leyva,El Roble,-73.513025,5.657516667,2270,No Reportado,06/30/2011 12:00:00 AM,Diario,,1,1,1 Seguimientos,Suelo,Suelo,Dias,,Volumetrico,POINT (-73.513025 5.657516667)
161,Tunja,Pirgua,-73.34621944,5.526563889,2776,No Reportado,09/23/2011 12:00:00 AM,,,,,1 Seguimientos,,,,,,POINT (-73.34621944 5.526563889)
162,Tunja,Zona Urbana,-73.36509444,5.520752778,2804,No Reportado,09/24/2011 12:00:00 AM,,,,,1 Seguimientos,Alcantarillado Municipal,Alcantarillado Municipal,,,,POINT (-73.36509444 5.520752778)
163,Corrales,Reyes Patria,-72.83515278,5.810713889,2432,2,12/15/2011 12:00:00 AM,Puntual,Normal,1,Industrial,,Rio Chicamocha,Rio Chicamocha,Puntual,,,POINT (-72.83515278 5.810713889)
164,Guacamayas,Centro,-72.500025,6.461483333,2200,No Reportado,11/09/2011 12:00:00 AM,,,,,3 Seguimientos,Alcantarillado Municipal,Alcantarillado Municipal,,,,POINT (-72.500025 6.461483333)
165,Panqueba,Centro-Reposo,-72.46091944,6.443380556,2263,No Reportado,11/09/2011 12:00:00 AM,,,,,2 Seguimientos,,,,,,POINT (-72.46091944 6.443380556)
166,Guican,Centro,-72.41391389,6.461722222,2862,No Reportado,11/09/2011 12:00:00 AM,,,,,3 Seguimientos,,,,,,POINT (-72.41391389 6.461722222)
167,Moniquira,Centro,-73.57901944,5.882055556,1707,3.76,10/03/2011 12:00:00 AM,Puntual,,Semanal,Comercial,2 Seguimientos,Quebrada Pueblo Viejo,Quebrada Pueblo Viejo,Puntual,,,POINT (-73.57901944 5.882055556)
168,Tunja,Zona Urbana,-73.35113056,5.553180556,2709,No Reportado,11/24/2011 12:00:00 AM,,,,,2 Seguimientos,Alcantarillado Municipal,Alcantarillado Municipal,,,,POINT (-73.35113056 5.553180556)
169,Tunja,Pirgua,-73.34623333,5.515947222,2886,No Reportado,11/24/2011 12:00:00 AM,Puntual,,1,1,1 Seguimientos,Suelo,Suelo,Puntual,,,POINT (-73.34623333 5.515947222)
170,Tunja,Pirgua,-73.34748611,5.515144444,2876,No Reportado,11/24/2011 12:00:00 AM,Puntual,,1,1,1 Seguimientos,Suelo,Suelo,Puntual,,,POINT (-73.34748611 5.515144444)
171,Santa Sofia,Sorocota,-73.60086111,5.76455,2260,No Reportado,01/18/2012 12:00:00 AM,Puntual,Normal,1,Industrial,1 Seguimientos,Quebrada Las Piedras,Quebrada Las Piedras,Puntual,,,POINT (-73.60086111 5.76455)
172,Villa De Leyva,El Roble,-73.52215833,5.647269444,2158,No Reportado,04/27/2012 12:00:00 AM,Puntual,Normal,1,Industrial,1 Seguimientos,Suelo,Suelo,Puntual,,,POINT (-73.52215833 5.647269444)
173,Paez,Santa Rita,-72.98431389,5.037822222,820,83.33,04/17/2012 12:00:00 AM,Puntual,,1,Industrial,,Pruebas Hidroestaticas. Quebrada Paraisena,Pruebas Hidroestaticas. Quebrada Paraisena,Puntual,,Volumetrico,POINT (-72.98431389 5.037822222)
174,Paez,Agua Blanca,-73.00398056,5.065177778,1038,83.33,04/17/2012 12:00:00 AM,Puntual,,1,Industrial,,Pruebas Hidroestaticas. Quebrada Agua Blanca,Pruebas Hidroestaticas. Quebrada Agua Blanca,Puntual,,Volumetrico,POINT (-73.00398056 5.065177778)
175,Paez,Mochilero,-73.02886944,5.096411111,740,83.33,04/17/2012 12:00:00 AM,Puntual,,1,Industrial,,Pruebas Hidroestaticas. Rio Upia,Pruebas Hidroestaticas. Rio Upia,Puntual,,Volumetrico,POINT (-73.02886944 5.096411111)
176,Paez,El Mincho,-73.07129444,5.113513889,875,83.33,04/18/2012 12:00:00 AM,Puntual,,1,Industrial,,Pruebas Hidroestaticas. Rio Lengupa,Pruebas Hidroestaticas. Rio Lengupa,Puntual,,Volumetrico,POINT (-73.07129444 5.113513889)
177,Miraflores,Mata Redonda Arriba,-73.13980833,5.181855556,1495,83.33,04/17/2012 12:00:00 AM,Puntual,,1,Industrial,,Pruebas Hidroestaticas. Quebrada Mocasia,Pruebas Hidroestaticas. Quebrada Mocasia,Puntual,,Volumetrico,POINT (-73.13980833 5.181855556)
178,Miraflores,Chapasia,-73.10743889,5.160361111,1120,83.33,04/17/2012 12:00:00 AM,Puntual,,1,Industrial,,Pruebas Hidroestaticas. Quebrada Susia,Pruebas Hidroestaticas. Quebrada Susia,Puntual,,Volumetrico,POINT (-73.10743889 5.160361111)
179,Sogamoso,Zona Urbana,-72.92879444,5.707672222,2535,No Reportado,04/13/2011 12:00:00 AM,Puntual,,1,Industrial,1 Seguimientos,Alcantarillado Municipal,Alcantarillado Municipal,Puntual,,Volumetrico,POINT (-72.92879444 5.707672222)
180,Sogamoso,Sucre,-72.91283611,5.756052778,0,0.32,04/17/2012 12:00:00 AM,Puntual,,1,Industrial,1 Seguimientos,Alcantarillado Municipal,Alcantarillado Municipal,Puntual,,Volumetrico,POINT (-72.91283611 5.756052778)
181,Otanche,Chaquipay,-74.16514722,5.816836111,380,7.68,04/19/2012 12:00:00 AM,Puntual,,1,Industrial,,Quebrada Cobre,Quebrada Cobre,Puntual,,Volumetrico,POINT (-74.16514722 5.816836111)
182,Sogamoso,La Ramada,-72.89908333,5.755122222,2508,0.00987,06/14/2012 12:00:00 AM,Puntual,Subcritico,1,1,,Fuente Sin Nombre,Fuente Sin Nombre,Puntual,,,POINT (-72.89908333 5.755122222)
183,Sogamoso,La Ramada,-72.89874722,5.756188889,2506,0.0664,06/14/2012 12:00:00 AM,Puntual,Subcritico,1,1,,Fuente Sin Nombre,Fuente Sin Nombre,Puntual,,,POINT (-72.89874722 5.756188889)
184,Miraflores,Suna,-73.19506389,5.197097222,1942,12.5,05/14/2012 12:00:00 AM,Puntual,Critico,1,Industrial,,Quebrada Suna,Quebrada Suna,Puntual,,Volumetrico,POINT (-73.19506389 5.197097222)
185,Zetaquira,Guanata,-73.24187778,5.259894444,2229,12.5,05/14/2012 12:00:00 AM,Puntual,Critico,1,Industrial,,Quebrada La Colorada,Quebrada La Colorada,Puntual,,Volumetrico,POINT (-73.24187778 5.259894444)
186,Miraflores,Susa,-73.21611944,5.218402778,2114,12.5,05/14/2012 12:00:00 AM,Puntual,Critico,1,Industrial,,Quebrada Agua Blanca,Quebrada Agua Blanca,Puntual,,Volumetrico,POINT (-73.21611944 5.218402778)
187,Moniquira,Zona Urbana,-73.57361944,5.871941667,1706,No Reportado,11/22/2011 12:00:00 AM,,,,,1 Seguimientos,,,,,,POINT (-73.57361944 5.871941667)
188,Sogamoso,Ramada,-72.89868333,5.756113889,2504,0.0664,03/09/2011 12:00:00 AM,Puntual,,1,1,,Canal Sin Nombre,Canal Sin Nombre,Puntual,,,POINT (-72.89868333 5.756113889)
189,Sogamoso,Ramada,-72.89912778,5.755166667,2510,0.00978,03/09/2011 12:00:00 AM,Puntual,,1,1,,Canal Sin Nombre,Canal Sin Nombre,Puntual,,,POINT (-72.89912778 5.755166667)
190,Tunja,Pirgua,-73.33702778,5.530683333,2787,No Reportado,08/10/2012 12:00:00 AM,Puntual,Normal,1,Industrial,,Suelo,Suelo,Puntual,,,POINT (-73.33702778 5.530683333)
191,Socha,El Motino,-72.68850278,5.948702778,2924,2,07/03/2012 12:00:00 AM,Puntual,,1,Industrial,,Quebrada El Tirque,Quebrada El Tirque,Puntual,,Volumetrico,POINT (-72.68850278 5.948702778)
192,Socota,Comeza Hoyada,-72.59029722,5.969030556,3277,30,06/20/2012 12:00:00 AM,Puntual,Critico,1,Industrial,,Rio Arzobispo,Rio Arzobispo,Puntual,,Volumetrico,POINT (-72.59029722 5.969030556)
193,Susacon,Centro,-72.69117778,6.232983333,2494,No Reportado,06/25/2012 12:00:00 AM,Puntual,Subcritico,Semanal,Industrial,1 Seguimientos,Pozo Septico,Pozo Septico,Puntual,,Volumetrico,POINT (-72.69117778 6.232983333)
194,Tota,Tota,-72.98886944,5.557413889,2846,0.1736,11/02/2012 12:00:00 AM,Puntual,,1,Industrial,2 Seguimientos,Quebrada Tota,Quebrada Tota,Puntual,,Volumetrico,POINT (-72.98886944 5.557413889)
195,Tunja,Runta Bajo,-73.35827778,5.510155556,2689,No Reportado,11/07/2012 12:00:00 AM,Puntual,Critico,1,Industrial,,Rio Jordan,Rio Jordan,Puntual,,Volumetrico,POINT (-73.35827778 5.510155556)
196,Paipa,Sativa,-73.14007778,5.774211111,2527,0.068,02/28/2013 12:00:00 AM,Puntual,Normal,Semanal,Industrial,,Acequia Afluente Del Rio Chicamocha,Acequia Afluente Del Rio Chicamocha,Puntual,,Volumetrico,POINT (-73.14007778 5.774211111)
197,Duitama,San Antonio Norte,-73.01436111,5.849722222,2625,0.22,04/19/2013 12:00:00 AM,Puntual,Normal,Mensual,Industrial,,Rio Chiticuy,Rio Chiticuy,Puntual,,Volumetrico,POINT (-73.01436111 5.849722222)
198,Moniquira,Papayal,-73.56784444,5.8777,1674,0.34,06/21/2013 12:00:00 AM,Puntual,Normal,1,Industrial,1 Seguimientos,Acequia Afluente Del Rio Chicamocha,Acequia Afluente Del Rio Chicamocha,Puntual,,Volumetrico,POINT (-73.56784444 5.8777)
199,Sotaquira,Carreno,-73.177,5.747361111,2550,0.02055,08/06/2013 12:00:00 AM,Puntual,Normal,1,1,,Suelo,Suelo,Puntual,,Otro,POINT (-73.177 5.747361111)
210,Moniquira,Jordan Bajo,-73.55977778,5.948416667,1642,No Reportado,04/22/2014 12:00:00 AM,Puntual,Normal,,Industrial,,Suelo,Suelo,Puntual,,,POINT (-73.55977778 5.948416667)
213,Tunja,Runta,-73.35936111,5.509986111,2752,0.11,11/14/2014 12:00:00 AM,Puntual,,1/2 Hora Dia Domingo (4 Dias/Mes),Industrial,,Quebrada Sin Nombre,Quebrada Sin Nombre,Puntual,,,POINT (-73.35936111 5.509986111)
214,Tunja,Runta,-73.35871667,5.510388889,2755,0.07,11/14/2014 12:00:00 AM,Puntual,,1,1,,Quebrada Sin Nombre,Quebrada Sin Nombre,Puntual,,,POINT (-73.35871667 5.510388889)
217,Motavita,Salvial,-73.345725,5.579211111,0,0.05,06/05/2015 12:00:00 AM,2,,1,1,,Suelo,Suelo,Difusa,,Otro,POINT (-73.345725 5.579211111)
218,Motavita,Salvial,-73.34655556,5.579055556,0,1,06/05/2015 12:00:00 AM,Puntual,,1,Industrial,,Suelo,Suelo,Puntual,,Otro,POINT (-73.34655556 5.579055556)
235,Tunja,Tunja,-73.35176389,5.517886111,0,3.1,,Puntual,Normal,Semanal,Industrial,,Suelo,Suelo,Puntual,,,POINT (-73.35176389 5.517886111)
224,Tunja,Runta,-73.35880556,5.51025,2752,0.07/0.201,08/21/2015 12:00:00 AM,2,,1,1,,Suelo / Predio Eds It De Colombia,Suelo / Predio Eds It De Colombia,Difusa,Vertimiento Domestico (Proveniente De Las Unidades Sanitarias)- Cuerpo Receptor Suelo,Otro,POINT (-73.35880556 5.51025)
225,Tunja,Runta,-73.35922222,5.510055556,2750,0.083/0.11,08/21/2015 12:00:00 AM,2,,Semanal,Industrial,,Suelo / Predio Eds It De Colombia,Suelo / Predio Eds It De Colombia,Difusa,Vertimiento No Domestico (Lavadao De Las Islas Y Patio De Alamacenamiento. Ademas De Aguas Lluvias Que Entran En Contacto Con Hidricarburos) - Cuerpo Receptor Suelo,Otro,POINT (-73.35922222 5.510055556)
241,Tibasosa,Centro,-73.00941667,5.736361111,2706,0.1,02/24/2016 12:00:00 AM,Puntual,Normal,1,1,1 Seguimientos,Suelo,Suelo,Puntual,No Se Reporta Caudal Del Cuerpo Receptor Ya Que Es Vertimientos Al Suelo. No Fue Posible Determinar El Caudal.,Otro,POINT (-73.00941667 5.736361111)
200,Combita,San Onofre,-73.33513056,5.620166667,2900,0.02,09/11/2013 12:00:00 AM,Puntual,,,1,,Suelo,Suelo,Puntual,,,POINT (-73.33513056 5.620166667)
201,Combita,San Onofre,-73.33454722,5.620419444,2878,0.02,09/12/2013 12:00:00 AM,Puntual,,,1,,Suelo,Suelo,Puntual,,,POINT (-73.33454722 5.620419444)
202,Combita,San Onofre,-73.33406111,5.618452778,2886,0.02,09/13/2013 12:00:00 AM,Puntual,,,1,,Suelo,Suelo,Puntual,,,POINT (-73.33406111 5.618452778)
211,La Victoria,Centro,-74.23163889,5.527652778,0,No Reportado,,,,,,2 Seguimientos,,,,,,POINT (-74.23163889 5.527652778)
203,Sogamoso,San Jose Del Porvenir,-72.88,5.763611111,2515,No Reportado,11/14/2013 12:00:00 AM,Puntual,Normal,Semanal,Industrial,,Reservorio,Reservorio,Puntual,,Area,POINT (-72.88 5.763611111)
204,Sogamoso,San Jose Del Porvenir,-72.87861111,5.764166667,2527,No Reportado,11/14/2013 12:00:00 AM,Puntual,Normal,Semanal,Industrial,,Reservorio,Reservorio,Puntual,,Area,POINT (-72.87861111 5.764166667)
205,Tibasosa,Patrocinio,-72.94694444,5.728611111,1476,0.511,09/13/2013 12:00:00 AM,Puntual,Normal,1,Comercial,,Rio Chiquito,Rio Chiquito,Puntual,,Volumetrico,POINT (-72.94694444 5.728611111)
215,Gachantiva,Saavedra De Morales,-73.49980556,5.736083333,2383,3.1,04/10/2014 12:00:00 AM,Puntual,Normal,1,Industrial,,Rio La Cebada,Rio La Cebada,Puntual,,Volumetrico,POINT (-73.49980556 5.736083333)
216,Susacon,San Ignacio,-72.69583333,6.241666667,2300,No Reportado,,Puntual,Normal,1,1,1 Seguimientos,Pozo Septico,Pozo Septico,Puntual,,Otro,POINT (-72.69583333 6.241666667)
206,El Espino,Santa Ana,-72.45222222,6.506666667,3553,0.595,11/06/2013 12:00:00 AM,Puntual,Normal,1,1,,Quebrada El Chuscal,Quebrada El Chuscal,Puntual,,Volumetrico,POINT (-72.45222222 6.506666667)
207,Duitama,Santa Helena,-73.15055556,5.962777778,2744,46.92,11/22/2013 12:00:00 AM,Puntual,Normal,1,Comercial,,Rio,Rio,Puntual,,Area,POINT (-73.15055556 5.962777778)
219,Tibasosa,Pena Negra,-73.00354222,5.805522222,2504,34,09/10/2015 12:00:00 AM,Puntual,Normal,1,Industrial,2 Seguimientos,Canal Vargas,Canal Vargas,Puntual,Medidor De Flujo,Otro,POINT (-73.00354222 5.805522222)
208,Puerto Boyaca,Calderon,-74.56100278,6.067519444,150,1.2,12/09/2013 12:00:00 AM,Puntual,Supercritico,1,Industrial,,Rio Magdalena,Rio Magdalena,Puntual,,Otro,POINT (-74.56100278 6.067519444)
209,Tunja,Tunja,-73.33341111,5.567388889,2678,0.1,02/04/2014 12:00:00 AM,Puntual,Normal,Mensual,Comercial,,Quebrada La Cascada,Quebrada La Cascada,Puntual,,Area,POINT (-73.33341111 5.567388889)
222,Oicata,Poravita,-73.30705556,5.624416667,2731,0.0057,06/10/2015 12:00:00 AM,2,,1,1,,Psuelo / Predio San Sebastian De Los Caballeros,Psuelo / Predio San Sebastian De Los Caballeros,Difusa,Vertimiento Domestico (Proveniente De Las Unidades Sanitarias),Otro,POINT (-73.30705556 5.624416667)
223,Oicata,Poravita,-73.30702778,5.624361111,2733,0.015/0.45,06/10/2015 12:00:00 AM,2,,Semanal,Comercial,,Suelo / Predio San Sebastian De Los Caballeros,Suelo / Predio San Sebastian De Los Caballeros,Difusa,Vertimiento No Domestico (Lavadao De Las Islas Y Patio De Alamacenamiento. Ademas De Aguas Lluvias Que Entran En Contacto Con Hidricarburos),Otro,POINT (-73.30702778 5.624361111)
358,Nobsa,Zona Urbana,-72.93255,5.759475,2481,No Reportado,08/30/2016 12:00:00 AM,Puntual,Normal,1,1,2 Seguimientos,Canal Liberal,Canal Liberal,Puntual,,,POINT (-72.93255 5.759475)
359,Nobsa,Zona Urbana,-72.93133056,5.759669444,2481,No Reportado,08/30/2016 12:00:00 AM,Puntual,Normal,1,1,2 Seguimientos,Canal Liberal,Canal Liberal,Puntual,,,POINT (-72.93133056 5.759669444)
226,Tuta,Rio De Piedras,-73.25083889,5.691711111,2591,0.126,,2,,1,Industrial,,Suelo / Predio Eds Combustibles Y Lubricantes La Playa Ltda.,Suelo / Predio Eds Combustibles Y Lubricantes La Playa Ltda.,Difusa,Vertimiento Domestico Y No Domestico (Proveniente De Las Unidades Sanitarias Y Lavadao De Las Islas. Ademas De Aguas Lluvias Que Entran En Contacto Con Hidricarburos)- Cuerpo Receptor Suelo,Otro,POINT (-73.25083889 5.691711111)
227,Aquitania,Susaca,-72.89431111,5.563319444,3032,0.049,10/09/2015 12:00:00 AM,2,Normal,1,Industrial,1 Seguimientos,Suelo,Suelo,Difusa,Vertimiento A Suelo,Otro,POINT (-72.89431111 5.563319444)
228,Cuitiva,La Vega,-72.9841,5.587530278,2557,0.33/0.945,09/03/2015 12:00:00 AM,Puntual,Normal,1,1,,Rio Tota,Rio Tota,Puntual,Vertimiento Domestico (Proveniente De Unidades Sanitarias. Aseo Y Restaurante Bar). El Caudal De Cuerpo Receptor Consignado Corresponde Al Minimo Y El Caudal Medio Multianual.,Volumetrico,POINT (-72.9841 5.587530278)
229,Cuitiva,La Vega,-72.98403056,5.587552778,2557,2.18/9.43,09/03/2015 12:00:00 AM,Puntual,Normal,1,Industrial,,Rio Tota,Rio Tota,Puntual,Vertimiento No Domestico (Proveniente De El Lavado De Las Piscinas Y Rebose De Las Mismas). El Caudal De Cuerpo Receptor Consignado Corresponde Al Minimo Y El Caudal Medio Multianual.,Volumetrico,POINT (-72.98403056 5.587552778)
230,Moniquira,Zona Urbana,-73.57811111,5.875083333,0,0.943,,2,,1,1,,Suelo / Proyecto Vivienda Villa Susana,Suelo / Proyecto Vivienda Villa Susana,Difusa,Vertimiento Domestico Cuerpo Receptor Suelo,Otro,POINT (-73.57811111 5.875083333)
231,Combita,Concepcion,-73.35405833,5.622238889,3110,0.028,,2,Normal,1,1,,Suelo,Suelo,Difusa,No Ha Entrado En Operacion,,POINT (-73.35405833 5.622238889)
232,Combita,Concepcion,-73.35405833,5.622238889,3110,0.32,,2,Normal,Semanal,Industrial,,Suelo,Suelo,Difusa,No Ha Entrado En Operacion,,POINT (-73.35405833 5.622238889)
233,Combita,Santa Barbara,-73.34191944,5.738752778,2980,3.55,10/21/2015 12:00:00 AM,Puntual,Normal,1,Comercial,,Quebrada El Guache,Quebrada El Guache,Puntual,,Area*Velocidad,POINT (-73.34191944 5.738752778)
360,Nobsa,Zona Urbana,-72.932,5.759575,2481,No Reportado,08/30/2016 12:00:00 AM,Puntual,Normal,1,Industrial,2 Seguimientos,Canal Liberal,Canal Liberal,Puntual,,,POINT (-72.932 5.759575)
237,Puerto Boyaca,Calderon,-74.54308889,6.033766667,0,No Reportado,01/21/2016 12:00:00 AM,2,Normal,Mensual,Industrial,1 Seguimientos,Suelo,Suelo,Difusa,,Area*Velocidad,POINT (-74.54308889 6.033766667)
238,Puerto Boyaca,Calderon,-74.54336667,6.033722222,0,No Reportado,01/21/2016 12:00:00 AM,Puntual,Normal,1,1,1 Seguimientos,Suelo,Suelo,Puntual,,Area*Velocidad,POINT (-74.54336667 6.033722222)
239,Puerto Boyaca,Miranal,-74.57089444,5.846313889,0,No Reportado,03/15/2016 12:00:00 AM,2,Normal,Mensual,Industrial,1 Seguimientos,Suelo,Suelo,Difusa,,Area*Velocidad,POINT (-74.57089444 5.846313889)
240,Puerto Boyaca,Miranal,-74.57089444,5.846636111,0,No Reportado,03/15/2016 12:00:00 AM,2,Normal,Mensual,Industrial,1 Seguimientos,Suelo,Suelo,Difusa,,Area*Velocidad,POINT (-74.57089444 5.846636111)
361,Nobsa,Zona Urbana,-72.92998333,5.761805556,2492,No Reportado,08/30/2016 12:00:00 AM,Puntual,Normal,1,Industrial,2 Seguimientos,Canal Liberal,Canal Liberal,Puntual,,,POINT (-72.92998333 5.761805556)
242,Oicata,Centro,-73.31036111,5.595277778,2719,No Reportado,04/29/2016 12:00:00 AM,Puntual,,1,1,4 Seguimientos,Suelo,Suelo,Puntual,Seguimiento Psmv,,POINT (-73.31036111 5.595277778)
243,Oicata,Centro,-73.30575,5.594472222,2714,No Reportado,04/29/2016 12:00:00 AM,Puntual,,1,1,4 Seguimientos,Suelo,Suelo,Puntual,Seguimiento Psmv,,POINT (-73.30575 5.594472222)
244,Oicata,Centro,-73.30519444,5.601888889,2679,No Reportado,04/29/2016 12:00:00 AM,Puntual,,1,1,4 Seguimientos,Suelo,Suelo,Puntual,Seguimiento Psmv,,POINT (-73.30519444 5.601888889)
245,Aquitania,Perez,-72.89108333,5.518666667,3027,No Reportado,05/12/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Quebrada El Mugre,Quebrada El Mugre,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-72.89108333 5.518666667)
246,Chitaraque,Resguardo De Blancos,-73.44291667,6.028583333,1535,No Reportado,05/03/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Rio Riachuelo,Rio Riachuelo,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-73.44291667 6.028583333)
247,Chitaraque,Resguardo De Blancos,-73.44330556,6.030611111,1533,No Reportado,05/03/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Rio Riachuelo,Rio Riachuelo,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-73.44330556 6.030611111)
248,Cuitiva,Lagunitas,-72.96555556,5.581472222,2729,No Reportado,05/19/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Quebrada Ensayadera,Quebrada Ensayadera,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-72.96555556 5.581472222)
249,Cuitiva,Zona Urbana,-72.96569444,5.581527778,2726,No Reportado,05/19/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Quebrada Ensayadera,Quebrada Ensayadera,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-72.96569444 5.581527778)
250,Cuitiva,Zona Urbana,-72.96572222,5.581555556,2726,No Reportado,05/19/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Quebrada Ensayadera,Quebrada Ensayadera,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-72.96572222 5.581555556)
251,Cuitiva,Zona Urbana,-72.96586111,5.581583333,2724,No Reportado,05/19/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Quebrada Ensayadera,Quebrada Ensayadera,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-72.96586111 5.581583333)
252,Cuitiva,Zona Urbana,-72.96611111,5.581666667,2721,No Reportado,05/19/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Quebrada Ensayadera,Quebrada Ensayadera,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-72.96611111 5.581666667)
253,Cuitiva,Macias,-72.96625,5.581722222,2719,No Reportado,05/19/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Quebrada Ensayadera,Quebrada Ensayadera,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-72.96625 5.581722222)
254,Cuitiva,Macias,-72.96627778,5.581694444,2719,No Reportado,05/19/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Quebrada Ensayadera,Quebrada Ensayadera,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-72.96627778 5.581694444)
255,Cuitiva,Macias,-72.96891667,5.581583333,2694,No Reportado,05/19/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Quebrada Ensayadera,Quebrada Ensayadera,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-72.96891667 5.581583333)
256,Tuta,Resguardo,-73.23266667,5.694972222,2549,No Reportado,04/12/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Rio Tuta,Rio Tuta,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-73.23266667 5.694972222)
257,Tuta,Resguardo,-73.23337778,5.688947222,2554,No Reportado,04/12/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Rio Tuta,Rio Tuta,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-73.23337778 5.688947222)
258,Tuta,Resguardo,-73.23344444,5.688927778,2555,No Reportado,04/12/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Rio Tuta,Rio Tuta,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-73.23344444 5.688927778)
259,Muzo,Zona Urbana,-74.10533333,5.530583333,836,No Reportado,06/27/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Quebrada La Chana,Quebrada La Chana,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-74.10533333 5.530583333)
260,Muzo,Zona Urbana,-74.10407222,5.531547222,837,No Reportado,06/27/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Quebrada La Chana,Quebrada La Chana,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-74.10407222 5.531547222)
261,Muzo,Zona Urbana,-74.10363889,5.531836111,836,No Reportado,06/27/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Quebrada La Chana,Quebrada La Chana,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-74.10363889 5.531836111)
262,Muzo,Zona Urbana,-74.1065,5.533777778,809,No Reportado,06/27/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Quebrada El Puerto,Quebrada El Puerto,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-74.1065 5.533777778)
263,Muzo,Zona Urbana,-74.10251111,5.534358333,842,No Reportado,06/27/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Quebrada El Puerto,Quebrada El Puerto,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-74.10251111 5.534358333)
264,Muzo,Zona Urbana,-74.10180556,5.534472222,844,No Reportado,06/27/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Quebrada El Puerto,Quebrada El Puerto,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-74.10180556 5.534472222)
265,Tota,Zona Urbana,-72.98869444,5.557777778,2855,No Reportado,06/29/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Quebrada Rada Tota,Quebrada Rada Tota,Puntual,Plan De Saneamiento Y Manejo De Vertimientos.,,POINT (-72.98869444 5.557777778)
266,Tota,Zona Urbana,-72.988,5.560944444,2861,No Reportado,06/29/2016 12:00:00 AM,Puntual,Normal,1,1,3 Seguimientos,Suelo,Suelo,Puntual,Vertimiento A Suelo,,POINT (-72.988 5.560944444)
